                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.227,                0.79827,                0.94972,                0.73355,                0.46955,                0.54807,                 0.3208,                 1.4008,                0.94426,                 0.9893,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2289,                0.79804,                0.94183,                 0.7236,                0.47637,                  0.555,                0.32465,                 1.3904,                0.96064,                0.98303,               0.001307,               0.001307,               0.001307
                     37,                 1.2243,                0.78113,                0.95632,                0.75107,                0.47803,                0.56892,                0.33396,                 1.3861,                0.89243,                0.99043,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2364,                0.79106,                0.94109,                0.73787,                0.47533,                0.55424,                0.32412,                 1.4109,                0.92326,                0.98853,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2266,                0.78749,                0.95188,                0.76623,                0.46569,                 0.5562,                0.33004,                 1.3971,                0.90277,                 0.9773,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2136,                0.78357,                0.94512,                0.76752,                0.45991,                0.55353,                0.32374,                 1.3937,                0.90084,                0.98199,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2059,                0.77427,                0.94094,                0.74565,                0.48843,                0.55895,                0.33112,                 1.3767,                0.90541,                0.98287,               0.001208,               0.001208,               0.001208
                     42,                 1.2087,                0.77143,                0.94388,                0.75717,                0.46723,                0.55765,                0.33348,                 1.3815,                0.89451,                0.97673,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1808,                0.75269,                0.93886,                0.76183,                0.47803,                0.56297,                0.33307,                 1.3712,                0.89834,                0.98114,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1713,                0.74857,                0.93318,                0.73264,                0.48689,                0.56304,                0.33586,                 1.3764,                0.88724,                0.98406,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1838,                0.76051,                0.93835,                0.76461,                0.47109,                0.56612,                0.33574,                 1.3829,                0.89379,                0.97581,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1897,                0.75108,                0.93199,                0.73449,                0.48419,                0.56143,                0.33103,                 1.3985,                0.90278,                0.98813,               0.001109,               0.001109,               0.001109
                     47,                 1.1573,                0.72317,                0.92713,                0.74928,                0.48843,                0.56888,                0.33961,                 1.3542,                0.87101,                0.97298,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1663,                0.74361,                 0.9258,                0.76757,                0.48766,                0.56987,                0.34134,                 1.3494,                0.87049,                0.97616,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1658,                0.74077,                0.92767,                0.75891,                 0.4788,                0.56647,                0.33631,                 1.3606,                0.87394,                0.97984,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1714,                0.74011,                0.93455,                0.73693,                0.48497,                 0.5627,                 0.3364,                 1.3724,                0.89342,                0.97851,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1556,                0.73465,                 0.9328,                0.70917,                0.50347,                0.57038,                0.34491,                 1.3373,                0.86939,                0.96616,                0.00101,                0.00101,                0.00101
                     52,                 1.1455,                 0.7255,                 0.9227,                0.73386,                0.48574,                 0.5625,                0.33763,                   1.36,                0.89292,                0.97334,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1568,                0.72297,                0.92144,                0.72075,                0.50655,                0.57725,                0.34292,                 1.3474,                0.87734,                 0.9727,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1482,                0.72884,                0.92891,                0.72228,                0.49075,                0.56816,                0.34155,                 1.3415,                0.85713,                0.97652,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1268,                0.71171,                0.91406,                0.70896,                0.51619,                0.57912,                0.34555,                 1.3543,                0.86469,                0.97405,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0999,                0.68742,                0.91558,                0.71419,                0.51343,                0.57967,                0.34998,                 1.3224,                0.84468,                0.96591,               0.000911,               0.000911,               0.000911
                     57,                 1.1531,                 0.7115,                0.91579,                0.74918,                0.48111,                0.56404,                0.33987,                 1.3158,                0.86163,                0.96454,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1092,                0.69634,                0.91497,                0.74131,                0.49932,                0.57652,                0.34747,                 1.3315,                0.85047,                0.97054,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1407,                0.70662,                0.92058,                0.77764,                0.46513,                0.55928,                0.33618,                 1.3512,                 0.8585,                 0.9762,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0872,                0.68512,                0.90744,                0.73817,                0.49923,                0.57153,                0.34377,                 1.3405,                0.84437,                0.97484,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1087,                0.69323,                 0.9098,                0.78292,                 0.4707,                0.56842,                0.34716,                 1.3376,                0.86337,                0.96492,               0.000812,               0.000812,               0.000812
                     62,                 1.0959,                0.68466,                0.90961,                0.73184,                0.49152,                0.56548,                0.34411,                 1.3411,                0.85767,                0.96769,              0.0007922,              0.0007922,              0.0007922
                     63,                    1.1,                0.68634,                0.91363,                0.75713,                0.48914,                0.57595,                0.35098,                 1.3151,                0.83095,                 0.9634,              0.0007724,              0.0007724,              0.0007724
                     64,                  1.081,                0.66937,                0.90403,                0.74187,                0.50154,                0.57678,                0.35072,                 1.3352,                0.83367,                0.97203,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1112,                0.68125,                0.91119,                0.75465,                0.49565,                0.57194,                0.34458,                 1.3397,                0.84663,                0.96832,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0899,                0.67716,                 0.9102,                0.72076,                0.51079,                 0.5762,                0.35002,                 1.3323,                0.83646,                0.96815,               0.000713,               0.000713,               0.000713
                     67,                  1.069,                0.65929,                0.90391,                0.73263,                0.50308,                0.57497,                0.34578,                  1.315,                0.84446,                0.96619,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0803,                0.66843,                0.90798,                0.75738,                0.49075,                 0.5828,                0.34872,                 1.3263,                0.82334,                0.95991,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0736,                0.67634,                0.90314,                0.73241,                 0.5081,                0.58202,                0.34976,                 1.3289,                0.83006,                0.96575,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0719,                0.65857,                0.90521,                 0.7555,                0.49961,                0.58338,                0.35456,                  1.308,                0.82237,                0.96267,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0568,                0.65427,                0.90073,                0.76111,                 0.5027,                0.58284,                0.35031,                 1.3255,                0.84005,                0.96378,               0.000614,               0.000614,               0.000614
                     72,                 1.0658,                0.65694,                0.89602,                0.75757,                0.50463,                0.58954,                 0.3565,                 1.3091,                0.84254,                0.95965,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0567,                0.64698,                0.89679,                0.76455,                0.49698,                 0.5889,                0.35751,                 1.3019,                0.81702,                0.95696,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0418,                0.64549,                0.90376,                0.79282,                0.48458,                0.58651,                0.35568,                 1.3168,                0.82628,                 0.9661,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0563,                0.64611,                0.89884,                0.73301,                0.51349,                0.58967,                0.35572,                 1.3171,                0.81363,                0.96219,              0.0005348,              0.0005348,              0.0005348
                     76,                  1.026,                0.72931,                0.88407,                0.76014,                0.51002,                0.59122,                0.36047,                 1.3023,                0.81047,                0.95745,               0.000515,               0.000515,               0.000515
                     77,                 1.0375,                0.63143,                0.89759,                0.78969,                0.49807,                0.59397,                0.36268,                 1.3001,                 0.8093,                0.95994,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0102,                 0.6197,                0.89459,                0.76103,                0.50347,                0.58746,                0.35833,                 1.2901,                0.81136,                0.95201,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0366,                0.63297,                0.89269,                0.74282,                 0.5081,                0.59411,                0.36204,                 1.2865,                0.80344,                0.95771,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0169,                0.61862,                0.89342,                0.76538,                0.50116,                0.59362,                0.35833,                 1.2961,                0.80331,                0.95769,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0293,                0.62802,                0.90298,                0.75605,                0.50777,                0.59224,                0.36072,                  1.303,                0.81002,                0.95896,               0.000416,               0.000416,               0.000416
                     82,                 1.0188,                 0.6078,                0.89155,                0.77023,                0.50463,                0.59019,                0.35952,                 1.2852,                0.80145,                0.95837,              0.0003962,              0.0003962,              0.0003962
                     83,                0.99966,                0.60403,                0.88845,                0.75363,                0.51658,                0.59135,                 0.3591,                 1.2925,                0.79385,                0.95991,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0238,                0.62009,                0.89664,                0.74518,                0.50655,                0.58759,                0.35772,                 1.3054,                0.80923,                0.96016,              0.0003566,              0.0003566,              0.0003566
                     85,                0.98595,                0.60131,                0.88474,                 0.7598,                0.51658,                0.59458,                 0.3602,                 1.2925,                0.79993,                0.95918,              0.0003368,              0.0003368,              0.0003368
                     86,                0.98281,                0.59438,                0.88245,                0.72098,                0.52429,                0.59088,                0.36089,                 1.3023,                0.81509,                0.96312,               0.000317,               0.000317,               0.000317
                     87,                0.99842,                 0.6031,                0.88667,                0.74433,                0.51619,                0.59188,                0.36173,                 1.3005,                0.81337,                0.96101,              0.0002972,              0.0002972,              0.0002972
                     88,                0.99098,                0.60208,                0.88731,                0.73286,                0.51658,                0.59161,                0.36257,                 1.2831,                0.80211,                0.95805,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0024,                0.60526,                0.88563,                0.77737,                0.49653,                0.59127,                0.36064,                 1.2966,                0.81014,                0.95614,              0.0002576,              0.0002576,              0.0002576
                     90,                0.95954,                0.58318,                0.88026,                0.76738,                0.50489,                0.58963,                0.36308,                  1.294,                0.80118,                0.95863,              0.0002378,              0.0002378,              0.0002378
                     91,                0.97634,                0.59517,                0.86958,                0.76219,                 0.5054,                0.58435,                0.35389,                 1.3068,                0.82739,                0.96503,               0.000218,               0.000218,               0.000218
                     92,                0.95008,                0.57446,                0.87646,                0.75503,                    0.5,                0.58575,                0.35664,                  1.314,                0.81874,                0.96867,              0.0001982,              0.0001982,              0.0001982
                     93,                0.94627,                 0.5658,                0.87254,                0.75964,                0.49769,                0.58486,                0.35663,                  1.318,                0.80756,                0.96705,              0.0001784,              0.0001784,              0.0001784
                     94,                0.93628,                0.57386,                0.86135,                0.73145,                0.51241,                0.58543,                0.35584,                 1.3156,                0.81648,                0.96391,              0.0001586,              0.0001586,              0.0001586
                     95,                0.92861,                 0.5569,                0.86942,                0.76053,                0.50075,                0.58419,                0.35525,                 1.3108,                0.82029,                0.96989,              0.0001388,              0.0001388,              0.0001388
                     96,                0.95211,                0.56774,                0.87006,                0.76114,                0.50734,                0.58671,                0.35626,                 1.3141,                0.81045,                0.96951,               0.000119,               0.000119,               0.000119
                     97,                0.92338,                   0.56,                0.87257,                0.75626,                0.50715,                0.58613,                0.35649,                 1.3137,                0.80498,                 0.9673,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.92497,                0.55316,                0.86554,                0.75026,                0.50848,                0.58675,                0.35941,                  1.296,                0.80846,                0.96353,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.93007,                0.54933,                 0.8668,                0.72608,                0.51388,                0.58736,                0.35942,                 1.2974,                0.80371,                 0.9652,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.92994,                0.55363,                0.86825,                0.73045,                0.51815,                0.58357,                0.35676,                 1.3082,                0.80698,                  0.966,               3.98e-05,               3.98e-05,               3.98e-05
